Name,Comment,Time,Likes,Reply Count
@TouristAmateur,cars is the future,2023-06-22T05:43:27Z,0,0
@abdhakim1991,Horse,2023-06-17T20:30:00Z,0,0
@BUNCHOFLOSERSYOUARE-sg8wl,"I really don&#39;t care if they actually make evs enviromentally friendly I will not become one with soccer moms and  prius drivers I will continue to drive my v8s, 2js and RBs",2023-06-14T20:28:50Z,0,0
@mr.libluckiestinfinitebene2589,"What about batteries waste?, can damaged batteries be recycled?, what about the radiation produced by batteries in electric vehicles?, are really biofuels and hydrofuels not environmentally friendly?",2023-06-02T04:43:15Z,1,1
@leeanucha,bicycle,2023-05-20T15:36:07Z,0,0
@omarattia4464,Cycling and walking??? What if it rains?!!!,2023-05-14T20:11:19Z,0,2
@Smoothie782,nuclear,2023-04-15T15:59:01Z,0,0
@arekarek1991,Yeah 20-80% for fossil fuel  car efficiency ! Say a true,2023-03-28T08:31:49Z,0,0
@peterhutter1320,"EVs are greener than ICE vehicles, but they do emit EMI emissions. This is why some EV manufacturers are no longer offering AM radios in their cars due to the intrinsic nature of high speed switching electronics producing broadband RFI. The EM spectrum&#39;s noise floor will increase substantially with the rapid growth of EVs and charging stations.",2023-03-19T16:54:09Z,0,0
@user0K,"Batteries are shipped, shock! Like if machine parts are not",2023-03-09T00:52:55Z,9,2
@quincyspielberger4366,It’s NOT complicated. Electric vehicles are poison! Most experts agree that one electric vehicle creates more than 80X the poisons of the average gas guzzling truck!!!,2023-03-05T22:27:09Z,0,1
@ChannelNews1,Electric cars are a massive environmental disaster. Why would anyone buy one?,2023-02-12T00:06:32Z,0,2
@accutronitisthe2nd95,"The answer is ABSOLUTELY YES!!! Fact, 70,250,400 electric cars can be powered a month by the energy used a month to pump just the oil that is used in the manufacture of THE FUEL the internal combustion vehicles use out of the ground alone in the US and offshore!!! now add   the manufacture of fossil fuel and getting the fuel to the pumps! and all of that is before it is even burned in the internal combustion engine and 70% of that energy is wasted heat before that pollution even comes out of the tailpipe! :eek:",2023-01-03T01:26:47Z,1,3
@bishbosh4815,How about stop child labour and exploitation then?,2022-12-09T17:17:56Z,0,0
@bishbosh4815,"What I come back to, which is worse? Like yes, there are pros and cons to fossil fuel ICE cars and EV cars, but when you weigh it all up, one most still outweigh the other",2022-12-09T17:15:50Z,0,0
@stevem7508,Not buying an EV,2022-11-16T20:42:00Z,1,1
@davidpalk5010,"E-cars - just another way to convince us to carry on consuming regardless. The only tangible advantage is cleaner air in cities, which is not how they&#39;re selling it to us, is it? Congratulations dear people, you have been well and truly greenwashed by the unstoppable corporate-growth machine which can obviously never advise simply consuming far less.",2022-11-08T21:42:29Z,50,5
@carkawalakhatulistiwa,"<a href=""https://www.youtube.com/watch?v=Chp9VlSs25c&amp;t=233"">3:53</a> Soviet Union have trolley electric bus",2022-10-11T08:46:02Z,3,1
@thegbgfamily,I&#39;ve known this for ten years and debated it. It&#39;s great that we can now put more evidence into the debate so that global problems can be adressed in a deductive manner.,2022-10-05T20:01:20Z,46,4
@codyhaddican7325,Anyone that has done their own research knows it is quite clear that these are FAR more damaging to the environment due to the fact that over unity does not exist.....🤣🤣🤣,2022-09-10T05:49:18Z,0,0
@renganathcanandan2469,"May be the time has finally come for sodium iron batteries initially for low performance and grid storage. As and when the technology develops, we can use the same for other applications which require greater energy density.",2022-09-08T08:54:16Z,12,0
@urbaradhikari1539,AB.🤝🤝💝💝💖💖🤣🤣,2022-08-21T08:28:20Z,0,0
@BMWS1000RRR,Cycling is better than every other means of Transportation 🚴‍♂️🚴‍♀️🚴,2022-08-12T10:21:46Z,2,2
@duanebonney,"So EV’s are 24 percent better for the environment… Has that included all the waste ICE creates, like oils, brakes and coolant? <br>I think Green Hydrogen will be the way to go. But I’m guessing there’s no money in it…",2022-08-11T02:10:13Z,3,2
@litestuffllc7249,"Here is something not complicated - CARPOOLING - you save money, time, CO2 , wear and tear on the roads and vehicles.  If everyone carpooled just for work CO2 realated to vehicles would be cut in half.. over night - you can do it right now - doesn&#39;t take a $50,000 car.   IF EVEN ONE CITY did this to demonstrate the benefits to the world - they&#39;d show you no traffic jams; faster moving more efficient vehicles, 1/2 or less CO2, savings of cash for fuel in your pocket, savings for wear an tear on the roads on your vehiclles and less stress because you don&#39;t always have to drive.  Since there is no money for a Corporation - no one is pushing it - but you could.",2022-08-08T22:32:09Z,1,0
@DingKong,The real CO2 output comes from aviation and shipping.<br>Personal cars are a small part of a much bigger problem.<br><br>We could all ride horses - but they produce CO2 also :-),2022-07-01T14:00:38Z,3,1
@sophieedel6324,"Considering the latest studies show that tire dust releases thousands times more air polluting than tailpipes, those heavy EV eating tires should really not be allowed on the road.",2022-06-17T19:23:55Z,3,3
@PETE4955,There is or never will be green energy. The only green energy is photosynthesis.,2022-06-04T17:38:43Z,0,0
@pechaa,I just read that the Volkswagen ID Buzz doesn’t use cobalt.,2022-05-09T15:11:29Z,8,4
@innergi5516,"I have your silver bullet solution! Only one problem. I CANT get it out if my imagination &amp; into reality bc I have no way to get that kinda money, let alone to mass produce it.",2022-03-28T07:29:41Z,0,0
@Mr_Mckinney_PRM_AIM,The 3 roots of climate crisis:<br>Capitalism<br>Colonialism <br>Extractivism,2022-03-27T04:46:39Z,0,0
@xchopp,"This makes me want to ditch my Guardian subscription, after decades. <br>- Really, G. you are &quot;just asking questions&quot; too? Like Faux News? <br>- Hand-wringing over lithium and cobalt mining while ignoring all the cobalt used in petrol refining?  Compared with the humanitarian and environmental impacts of petrol? Perleeze! <br>- Material resources have to be transported? You don&#39;t say! Ditto <i>everything</i> else!  <br>- And let&#39;s not forget to mention that old canard &quot;particulates from tyre and brake wear&quot; (but let&#39;s not mention that EV&#39;s rarely use friction brakes, eh?). <br>- &quot;In fact, one study found... blah blah blah&quot; - but where is the citation? There&#39;s no way we can check the methods and conclusions from that &quot;one study,&quot; , is there? Useless.<br><br>Yes, we should all drive less. Yes, we should all drive smaller, more efficient cars. But many people will need to drive, so they should drive electric, asap. Once EVs are in the majority and it become socially unacceptable to drive a combustion vehicle, then we&#39;ll quickly get to 100% electric and a cleaner transportation future. But by posting this, you are delaying the transition. And that&#39;s barely forgivable.",2022-03-17T16:10:41Z,9,8
@Hproawesome,Everyone like driving their car so reducing amount of car on the road will not work.,2022-03-15T08:09:44Z,0,0
@syckles,"Does your &quot;person of the year,&quot; J. K. Rowling have an electric car? When are you going to post that story?",2022-03-14T17:51:33Z,0,0
@ednasuter3297,My husband also received up to 3btc right from this source 👆 everyone keeps earning,2022-03-08T22:37:29Z,0,0
@ednasuter3297,My husband also received up to 3btc right from this source 👆 everyone keeps earning,2022-03-08T22:37:25Z,0,0
@dudeguy7347,mass transit is greener,2022-03-08T10:47:42Z,0,0
